drug_name_clean,COUNTY,STATE,COUNTY_CODE,median_cost,num_prices
Adalimumab,Abbeville,SC,42000,3497.2695,1363
Adalimumab,Acadia,LA,19000,3497.2695,1128
Adalimumab,Accomack,VA,49000,3587.78015,1130
Adalimumab,Ada,ID,13000,3497.2695,1089
Adalimumab,Adair,IA,16000,3512.0317,815
Adalimumab,Adair,KY,18000,3497.2695,1190
Adalimumab,Adair,MO,26000,3570.5956,722
Adalimumab,Adair,OK,37000,3497.2695,1021
Adalimumab,Adams,CO,06000,3497.2695,1625
Adalimumab,Adams,ID,13010,3497.2695,673
Adalimumab,Adams,IL,14000,3488.72525,950
Adalimumab,Adams,IN,15000,3568.0618,1156
Adalimumab,Adams,IA,16010,3497.4004,823
Adalimumab,Adams,MS,25000,3482.4342,777
Adalimumab,Adams,NE,28000,3497.2695,902
Adalimumab,Adams,ND,35000,3417.205,639
Adalimumab,Adams,OH,36000,3497.2695,1563
Adalimumab,Adams,PA,39000,3497.2695,1944
Adalimumab,Adams,WA,50000,3429.9322,671
Adalimumab,Adams,WI,52000,3497.4004,838
Adalimumab,Addison,VT,47000,3497.4004,669
Adalimumab,Adjuntas,PR,40010,3520.6773,976
Adalimumab,Adjuntas,NA,40010,3540.87005,160
Adalimumab,Agana,NA,65010,3681.333,19
Adalimumab,Agana Heights,NA,65020,3681.333,19
Adalimumab,Agat,NA,65030,3681.333,19
Adalimumab,Aguada,PR,40020,3520.6773,1027
Adalimumab,Aguada,NA,40020,3540.87005,160
Adalimumab,Aguadilla,PR,40030,3520.6773,1027
Adalimumab,Aguadilla,NA,40030,3540.87005,160
Adalimumab,Aguas Buenas,PR,40040,3520.6773,937
Adalimumab,Aguas Buenas,NA,40040,3540.87005,160
Adalimumab,Aibonito,PR,40050,3520.6773,937
Adalimumab,Aibonito,NA,40050,3540.87005,160
Adalimumab,Aiken,SC,42010,3497.2695,1388
Adalimumab,Aitkin,MN,24000,3487.4709,1129
Adalimumab,Alachua,FL,10000,3497.2695,1290
Adalimumab,Alamance,NC,34000,3497.2695,1813
Adalimumab,Alameda,CA,05000,3430.0577,1302
Adalimumab,Alamosa,CO,06010,3586.2262499999997,676
Adalimumab,Albany,NY,33000,3593.7321,1513
Adalimumab,Albany,WY,53000,3497.2695,646
Adalimumab,Albemarle,VA,49010,3597.1501,1193
Adalimumab,Alcona,MI,23000,3482.4342,1120
Adalimumab,Alcorn,MS,25010,3519.0709,801
Adalimumab,Aleutians East,AK,02013,3497.4004,374
Adalimumab,Aleutians West,AK,02016,3497.4004,374
Adalimumab,Alexander,IL,14010,3497.2695,839
Adalimumab,Alexander,NC,34010,3497.268,1553
Adalimumab,Alexandria,VA,49011,3587.78015,1416
Adalimumab,Alfalfa,OK,37010,3497.2695,694
Adalimumab,Alger,MI,23010,3482.4342,724
Adalimumab,Allamakee,IA,16020,3524.26865,822
Adalimumab,Allegan,MI,23020,3406.0963,1385
Adalimumab,Allegany,MD,21000,3482.4475,494
Adalimumab,Allegany,NY,33010,3509.7753,1448
Adalimumab,Alleghany,NC,34020,3476.9937,1301
Adalimumab,Alleghany,VA,49020,3597.1501,1177
Adalimumab,Allegheny,PA,39010,3497.2695,1948
Adalimumab,Allen,IN,15010,3568.0618,1311
Adalimumab,Allen,KS,17000,3571.31325,784
Adalimumab,Allen,KY,18010,3497.2695,1151
Adalimumab,Allen,LA,19010,3497.268,1123
Adalimumab,Allen,OH,36010,3568.0618,1847
Adalimumab,Allendale,SC,42020,3497.2695,1257
Adalimumab,Alpena,MI,23030,3482.4342,1120
Adalimumab,Alpine,CA,05010,3445.1775,492
Adalimumab,Amador,CA,05020,3497.268,781
Adalimumab,Amelia,VA,49030,3589.8119,1360
Adalimumab,Amherst,VA,49040,3589.8119,1229
Adalimumab,Amite,MS,25020,3497.4004,930
Adalimumab,Anasco,PR,40060,3520.6773,1027
Adalimumab,Anasco,NA,40060,3540.87005,160
Adalimumab,Anchorage,AK,02020,3497.4004,374
Adalimumab,Anderson,KS,17010,3572.0788,758
Adalimumab,Anderson,KY,18020,3497.2695,1308
Adalimumab,Anderson,SC,42030,3497.2695,1618
Adalimumab,Anderson,TN,44000,3497.2695,1242
Adalimumab,Anderson,TX,45000,3497.2695,1087
Adalimumab,Andrew,MO,26010,3585.7398,857
Adalimumab,Andrews,TX,45010,3497.2695,810
Adalimumab,Androscoggin,ME,20000,3571.3054,969
Adalimumab,Angelina,TX,45020,3497.2695,947
Adalimumab,Angoon,AK,02030,3497.4004,374
Adalimumab,Anne Arundel,MD,21010,3497.2695,1160
Adalimumab,Anoka,MN,24010,3488.7816,1322
Adalimumab,Anson,NC,34030,3497.12565,1558
Adalimumab,Antelope,NE,28010,3497.2695,902
Adalimumab,Antrim,MI,23040,3485.6395,1185
Adalimumab,Apache,AZ,03000,3497.3236,689
Adalimumab,Appanoose,IA,16030,3512.0317,815
Adalimumab,Appling,GA,11000,3497.2695,1271
Adalimumab,Appomattox,VA,49050,3597.89165,1308
Adalimumab,Aransas,TX,45030,3497.2695,1259
Adalimumab,Arapahoe,CO,06020,3497.2695,1664
Adalimumab,Archer,TX,45040,3497.2695,818
Adalimumab,Archuleta,CO,06030,3597.1501,773
Adalimumab,Arecibo,PR,40070,3520.6773,1027
Adalimumab,Arecibo,NA,40070,3540.87005,160
Adalimumab,Arenac,MI,23050,3386.8014000000003,1396
Adalimumab,Arkansas,AR,04000,3497.2695,1289
Adalimumab,Arlington,VA,49060,3597.1501,1428
Adalimumab,Armstrong,PA,39070,3497.2695,1910
Adalimumab,Armstrong,TX,45050,3497.2695,929
Adalimumab,Aroostook,ME,20010,3567.44805,872
Adalimumab,Arroyo,PR,40080,3520.6773,937
Adalimumab,Arroyo,NA,40080,3540.87005,160
Adalimumab,Arthur,NE,28020,3407.7033,488
Adalimumab,Asan,NA,65040,3681.333,19
Adalimumab,Ascension,LA,19020,3488.726,1279
Adalimumab,Ashe,NC,34040,3482.4342,1127
Adalimumab,Ashland,OH,36020,3497.2695,1981
